Title,Genre,Link
"Toyota Harrier dengan Penumpang 9 WNI Kecelakaan di Malaysia, 1 Wanita Tewas ",dunia,https://dunia.tempo.co/read/1746951/toyota-harrier-dengan-penumpang-9-wni-kecelakaan-di-malaysia-1-wanita-tewas
"Angka Kecelakaan Tinggi, Kemenhub Minta Pemotor Beralih ke Transportasi Umum",gooto,https://www.gooto.com/read/1746296/angka-kecelakaan-tinggi-kemenhub-minta-pemotor-beralih-ke-transportasi-umum
"Imbauan Kurangi Penggunaan Motor Demi Tekan Angka Kecelakaan, Pengamat: Memang Kontra Kebijakan",bisnis,https://bisnis.tempo.co/read/1745681/imbauan-kurangi-penggunaan-motor-demi-tekan-angka-kecelakaan-pengamat-memang-kontra-kebijakan
"Kecelakaan Lift di Sekolah Az Zahra, Pemkot Bandar Lampung Jamin Pendidikan Anak-anak Korban",tekno,https://tekno.tempo.co/read/1745632/kecelakaan-lift-di-sekolah-az-zahra-pemkot-bandar-lampung-jamin-pendidikan-anak-anak-korban
"Satu Keluarga Kecelakaan Tertabrak Ojol di Depok, Anak Dilarikan ke RS",metro,https://metro.tempo.co/read/1744918/satu-keluarga-kecelakaan-tertabrak-ojol-di-depok-anak-dilarikan-ke-rs
Kecelakaan Kereta di India: Petugas Perbaikan Palang Pintu Salah Sambungkan Koneksi,dunia,https://dunia.tempo.co/read/1744300/kecelakaan-kereta-di-india-petugas-perbaikan-palang-pintu-salah-sambungkan-koneksi
"Kecelakaan Kerja Kembali Terjadi di PT GNI, Kemnaker Tunggu Pendalaman Pengawas Ketenagakerjaan",bisnis,https://bisnis.tempo.co/read/1744047/kecelakaan-kerja-kembali-terjadi-di-pt-gni-kemnaker-tunggu-pendalaman-pengawas-ketenagakerjaan
"Mengenang Dilano van't Hoff, Pembalap Junior yang Meninggal Setelah Kecelakaan Ajang FRECA",otomotif,https://otomotif.tempo.co/read/1744020/mengenang-dilano-vant-hoff-pembalap-junior-yang-meninggal-setelah-kecelakaan-ajang-freca
Pembalap Junior Dilano van't Hoff Tewas dalam Kecelakaan di Spa-Francorchamps,otomotif,https://otomotif.tempo.co/read/1743386/pembalap-junior-dilano-vant-hoff-tewas-dalam-kecelakaan-di-spa-francorchamps
"Lagi, Kecelakaan Kerja di PT GNI, Masyarakat Sipil Tagih Janji Luhut",nasional,https://nasional.tempo.co/read/1743035/lagi-kecelakaan-kerja-di-pt-gni-masyarakat-sipil-tagih-janji-luhut
"Kecelakaan Tunggal di Depok, Pengendara Motor Patah Tulang dan Penumpang Tewas di Tempat",metro,https://metro.tempo.co/read/1742639/kecelakaan-tunggal-di-depok-pengendara-motor-patah-tulang-dan-penumpang-tewas-di-tempat
"Kecelakaan di Depok, Honda Brio Tabrak Pick Up hingga Terperosok ke Selokan",metro,https://metro.tempo.co/read/1742443/kecelakaan-di-depok-honda-brio-tabrak-pick-up-hingga-terperosok-ke-selokan
Indonesia Toll Road Watch Ingatkan Korban Kecelakaan Meninggal Dunia di Jalan Tol Meningkat,bisnis,https://bisnis.tempo.co/read/1742265/indonesia-toll-road-watch-ingatkan-korban-kecelakaan-meninggal-dunia-di-jalan-tol-meningkat
Enam Jenazah Korban Kecelakaan Pesawat SAM Air Diterbangkan ke Jayapura,nasional,https://nasional.tempo.co/read/1741978/enam-jenazah-korban-kecelakaan-pesawat-sam-air-diterbangkan-ke-jayapura
"Kecelakaan Elf Tabrak Truk di Jalan Tol Solo-Ngawi Sragen, 3 Korban Meninggal",nasional,https://nasional.tempo.co/read/1741976/kecelakaan-elf-tabrak-truk-di-jalan-tol-solo-ngawi-sragen-3-korban-meninggal
"Kecelakaan 'Roller Coaster' di Swedia, Satu Orang Meninggal Dunia",dunia,https://dunia.tempo.co/read/1741282/kecelakaan-roller-coaster-di-swedia-satu-orang-meninggal-dunia
"MotoGP Belanda: Quartararo Kecelakaan Saat Latihan, Jempolnya Cedera",otomotif,https://otomotif.tempo.co/read/1740506/motogp-belanda-quartararo-kecelakaan-saat-latihan-jempolnya-cedera
