,index,Title,Genre,Link
1302,1302,"Main layangan, seorang anak di OKU Sumsel tersambar KA Kuala Stabas",Humaniora,https://www.antaranews.com/berita/3477885/main-layangan-seorang-anak-di-oku-sumsel-tersambar-ka-kuala-stabas
1303,1303,Pemkab Sukabumi percepat perbaikan jalur mudik menjelang Idul Fitri,Ekonomi,https://www.antaranews.com/berita/3477579/pemkab-sukabumi-percepat-perbaikan-jalur-mudik-menjelang-idul-fitri
1304,1304,PT KAI minta masyarakat waspada saat melewati perlintasan kereta api,Ekonomi,https://www.antaranews.com/berita/3477555/pt-kai-minta-masyarakat-waspada-saat-melewati-perlintasan-kereta-api
1305,1305,Pemudik diimbau gunakan terminal resmi agar lebih aman,Metro,https://www.antaranews.com/berita/3477489/pemudik-diimbau-gunakan-terminal-resmi-agar-lebih-aman
1306,1306,BRI tawarkan diskon di Pasar Ramadhan dongkrak transaksi non tunai,Ekonomi,https://www.antaranews.com/berita/3477435/bri-tawarkan-diskon-di-pasar-ramadhan-dongkrak-transaksi-non-tunai
1307,1307,Polda Metro Jaya petakan titik rawan kemacetan di pintu keluar Jakarta,Metro,https://www.antaranews.com/berita/3477384/polda-metro-jaya-petakan-titik-rawan-kemacetan-di-pintu-keluar-jakarta
1308,1308,Jeremy Renner sempat tulis pesan perpisahan untuk keluarga saat kritis,Hiburan,https://www.antaranews.com/berita/3477351/jeremy-renner-sempat-tulis-pesan-perpisahan-untuk-keluarga-saat-kritis
1309,1309,Pemkab Bekasi ingatkan pemilik gedung kantongi Sertifikat Laik Fungsi,Ekonomi,https://www.antaranews.com/berita/3477285/pemkab-bekasi-ingatkan-pemilik-gedung-kantongi-sertifikat-laik-fungsi
1310,1310,Kalbar lindungi 29 ribu pekerja keagamaan dalam program BPJamsostek,Humaniora,https://www.antaranews.com/berita/3477216/kalbar-lindungi-29-ribu-pekerja-keagamaan-dalam-program-bpjamsostek
1311,1311,"Menhub puji kegiatan ""Baksos Bersama Mitra Gojek"" di 25 kota",Ekonomi,https://ramadhan.antaranews.com/berita/3477060/menhub-puji-kegiatan-baksos-bersama-mitra-gojek-di-25-kota
1312,1312,Anggota DPR apresiasi persiapan transportasi Lebaran 2023,Politik,https://www.antaranews.com/berita/3477051/anggota-dpr-apresiasi-persiapan-transportasi-lebaran-2023
1313,1313,iPhone 14 kuning resmi masuk Indonesia,Tekno,https://www.antaranews.com/berita/3476961/iphone-14-kuning-resmi-masuk-indonesia
1314,1314,Shane Byrne harap Ray bisa kompetitif di WSBK perdananya,Olahraga,https://www.antaranews.com/berita/3476871/shane-byrne-harap-ray-bisa-kompetitif-di-wsbk-perdananya
1315,1315,TNI AL kerahkan KRI Untung Suropati amankan prosesi laut Semana Santa,Hukum,https://www.antaranews.com/berita/3476799/tni-al-kerahkan-kri-untung-suropati-amankan-prosesi-laut-semana-santa
1316,1316,Terminal Tipe B Mulyojati Metro Lampung masih sepi pemudik,Humaniora,https://www.antaranews.com/berita/3476754/terminal-tipe-b-mulyojati-metro-lampung-masih-sepi-pemudik
1317,1317,"Kemarin, korban pengganda uang meninggal diracun hingga bansos Lebaran",Hukum,https://www.antaranews.com/berita/3476667/kemarin-korban-pengganda-uang-meninggal-diracun-hingga-bansos-lebaran
1318,1318,Dishub Pekanbaru lakukan pengawasan angkutan ilegal jelang Lebaran,Ekonomi,https://www.antaranews.com/berita/3476268/dishub-pekanbaru-lakukan-pengawasan-angkutan-ilegal-jelang-lebaran
1319,1319,Perum Jasa Tirta I kembali menggelar mudik gratis,Ekonomi,https://www.antaranews.com/berita/3476235/perum-jasa-tirta-i-kembali-menggelar-mudik-gratis
1320,1320,BPJS Kesehatan ungkap fraud miliaran rupiah dari RS tanpa pasien,Humaniora,https://www.antaranews.com/berita/3475995/bpjs-kesehatan-ungkap-fraud-miliaran-rupiah-dari-rs-tanpa-pasien
1321,1321,"Jawab Kebutuhan Nasabah, BRI Luncurkan Produk Asuransi Professional Group Health (PGH)",Rilis Pers,https://www.antaranews.com/berita/3475923/jawab-kebutuhan-nasabah-bri-luncurkan-produk-asuransi-professional-group-health-pgh
1322,1322,Polri komitmen wujudkan kualitas pengamanan mudik lebih baik,Politik,https://www.antaranews.com/berita/3475872/polri-komitmen-wujudkan-kualitas-pengamanan-mudik-lebih-baik
1323,1323,Kemenhub gelar apel pembukaan posko angkutan laut Lebaran 2023,Ekonomi,https://www.antaranews.com/berita/3475761/kemenhub-gelar-apel-pembukaan-posko-angkutan-laut-lebaran-2023
1324,1324,BPJS Kesehatan jamin akses pelayanan di masa libur lebaran,Humaniora,https://www.antaranews.com/berita/3475758/bpjs-kesehatan-jamin-akses-pelayanan-di-masa-libur-lebaran
1325,1325,"Mudik lebaran, peserta BPJS Kesehatan bisa berobat cukup bawa KTP",Humaniora,https://www.antaranews.com/berita/3475668/mudik-lebaran-peserta-bpjs-kesehatan-bisa-berobat-cukup-bawa-ktp
1326,1326,BPJS Kesehatan bersedia menutup selisih biaya rawat korban kecelakaan,Humaniora,https://www.antaranews.com/berita/3475569/bpjs-kesehatan-bersedia-menutup-selisih-biaya-rawat-korban-kecelakaan
1327,1327,Polda Babel dirikan 32 posko mudik Lebaran,Hukum,https://www.antaranews.com/berita/3475545/polda-babel-dirikan-32-posko-mudik-lebaran
1328,1328,Anggota DPR imbau Kemenhub-Korlantas antisipasi kecelakaan saat mudik,Politik,https://www.antaranews.com/berita/3475542/anggota-dpr-imbau-kemenhub-korlantas-antisipasi-kecelakaan-saat-mudik
1329,1329,Pemkab Magetan minta usaha wisata terapkan Sapta Pesona hadapi lebaran,Ekonomi,https://www.antaranews.com/berita/3475467/pemkab-magetan-minta-usaha-wisata-terapkan-sapta-pesona-hadapi-lebaran
1330,1330,"Balita 2,5 tahun di Tanggamus Lampung tewas terseret arus irigasi",Humaniora,https://www.antaranews.com/berita/3475434/balita-25-tahun-di-tanggamus-lampung-tewas-terseret-arus-irigasi
1331,1331,Menko PMK ingatkan masyarakat waspada kecelakaan di lokasi wisata,Hukum,https://www.antaranews.com/berita/3475410/menko-pmk-ingatkan-masyarakat-waspada-kecelakaan-di-lokasi-wisata
1332,1332,Pemerintah siapkan bansos Lebaran untuk 21 juta KK,Hukum,https://www.antaranews.com/berita/3475368/pemerintah-siapkan-bansos-lebaran-untuk-21-juta-kk
